"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Bulgaria,"1,160,706",+359,"37,019 ",+12,"999,645","+4,626","124,042",67,"169,409","5,403","9,909,423","1,446,317","6,851,486 ",Europe,52,2,"18,104",2022-05-11
Croatia,"1,129,199",+960,"15,905 ",+6,"1,108,536",+303,"4,758",17,"278,242","3,919","4,824,073","1,188,683","4,058,336 ",Europe,237,1,"1,172",2022-05-11
Cuba,"1,104,206",+96,"8,529 ",+1,"1,095,154",+142,523,23,"97,598",754,"12,920,253","1,141,991"," 11,313,798 ",North America,8,0.09,46,2022-05-11
Lebanon,"1,097,720",+77,"10,403 ",+1,"1,084,400",+130,"2,917",186,"162,174","1,537","4,795,578","708,485","6,768,781 ",Asia,11,0.1,431,2022-05-11
Lithuania,"1,060,058",+198,"9,123 ",+1,"1,030,973",+790,"19,962",9,"399,736","3,440","9,951,218","3,752,490","2,651,897 ",Europe,75,0.4,"7,527",2022-05-11
Finland,"1,052,767",,"4,150 ",,,,,21,"189,460",747,"10,773,620","1,938,860","5,556,679 ",Europe,,,"180,435 ",2022-05-11
Tunisia,"1,041,197",,"28,575 ",,,,,29,"86,421","2,372","4,592,916","381,221","12,047,923 ",Africa,,,"-1,173.15",2022-05-11
Slovenia,"1,017,676",+666,"6,616 ",+3,"1,000,998","+1,144","10,062",19,"489,392","3,182","2,654,455","1,276,507","2,079,468 ",Europe,320,1,"4,839",2022-05-11
New Zealand,"1,013,721","+8,047",855 ,+29,"960,384","+11,667","52,482",,"202,659",171,"7,115,383","1,422,479","5,002,100 ",Australia/Oceania,"1,609",6,"10,492",2022-05-11
Belarus,"982,867",,"6,978 ",,,,,,"104,078",739,"13,220,483","1,399,947","9,443,560 ",Europe,,,"5,014",2022-05-11
Nepal,"978,978",+18,"11,952 ",,"966,839",+16,187,,"32,515",397,"5,662,311","188,064","30,108,348 ",Asia,0.6,,6 ,2022-05-11
Bolivia,"905,655",+125,"21,926 ",+1,"862,685",+408,"21,044",220,"75,671","1,832","2,705,422","226,050","11,968,249 ",South America,10,0.08,"1,758",2022-05-11
UAE,"901,076",+312,"2,302 ",,"885,035",+264,"13,739",,"89,110",228,"158,184,246","15,643,265","10,111,971 ",Asia,31,,"1,359",2022-05-11
Uruguay,"899,723",,"7,210 ",,"888,557",,"3,956",18,"257,354","2,062","6,091,188","1,742,305","3,496,052 ",South America,,,"1,132",2022-05-11
Ecuador,"871,046",,"35,602  ",,,,,759,"48,019","1,963","2,470,170","136,174","18,139,765 ",South America,,,"21,586",2022-05-11
Costa Rica,"866,164",,"8,444 ",,"841,683",,"16,037",48,"167,201","1,630","4,401,922","849,731","5,180,372 ",North America,,,"3,096",2022-05-11
Guatemala,"850,255",,"17,719 ",,"830,386",,"2,150",5,"45,885",956,"4,516,595","243,746","18,529,950 ",North America,,,116,2022-05-11
Latvia,"825,272",+346,"5,794 ",+2,"815,324",+603,"4,154",9,"446,685","3,136","7,211,698","3,903,391","1,847,547 ",Europe,187,1,"2,248",2022-05-11
Panama,"796,461","+3,324","8,199 ",+5,"769,618",+779,"18,644",16,"179,355","1,846","5,975,743","1,345,677","4,440,696 ",North America,749,1,"4,198",2022-05-11
Azerbaijan,"792,638",,"9,709 ",,"782,869",,60,,"76,891",942,"6,838,458","663,372","10,308,634 ",Asia,,,6,2022-05-11
Saudi Arabia,"757,191",+642,"9,108 ",+4,"742,927",+145,"5,156",60,"21,139",254,"42,049,904","1,173,953","35,819,075 ",Asia,18,0.1,144,2022-05-11
Sri Lanka,"663,614",+17,"16,510 ",+1,"646,151",+2,953,,"30,752",765,"6,486,117","300,565","21,579,728 ",Asia,0.8,0.05,44,2022-05-11
Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,064"," 2,587","2,633,737","361,034","7,294,987 ",South America,,,846,2022-05-11
Kuwait,"632,074",+176,"2,555 ",,"629,114",+168,405,3,"144,057",582,"8,071,763","1,839,647","4,387,669 ",Asia,40,,92,2022-05-11
Myanmar,"613,082",+16,"19,434 ",,"592,001",+14,"1,647",,"11,130",353,"8,049,855","146,132","55,086,148 ",Asia,0.3,,30,2022-05-11
Palestine,"582,119",,"5,353 ",,"576,684",,82,17,"109,396","1,006","3,078,533","578,538","5,321,228 ",Asia,,,15,2022-05-11
Dominican Republic,"580,020",,"4,376 ",,"575,175",,469,1,"52,492",396,"3,296,116","298,301","11,049,619 ",North America,,,42,2022-05-11
Bahrain,"575,129",+728,"1,479 ",+2,"568,141",+398,"5,509",3,"317,545",817,"9,766,940","5,392,611","1,811,171 ",Asia,402,1,"3,042",2022-05-11
Estonia,"573,922",,"2,556 ",,"514,836",,"56,530",3,"432,109","1,924","3,345,340","2,518,723","1,328,189 ",Europe,,,"42,562",2022-05-11
Venezuela,"522,840",+40," 5,710 ",+1,"516,065",+105,"1,065",230,"18,484",202,"3,359,014","118,749","28,286,566 ",South America,1,0.04,38,2022-05-11
